category,count
Sea view,12.0
Custom bakes,8.0
Insta-worthy,22.0
Great coffee,27.0
Kebab places,44.0
Great buffets,23.0
Trending this week,30.0
Hidden gems,15.0
Regional favorites,26.0
Legendary outlets,31.0
Book a table online on Zomato,41.0
Newly opened,48.0
Best cupcakes,11.0
Irani caf&eacute;s,14.0
Sheesha lounges,34.0
All-day dining,46.0
ICICI Bank Culinary Treats,22.0
European &amp; Mediterranean,28.0
Sweet tooth,50.0
Romantic,23.0
Veggie friendly,38.0
Pan-Asian delicacies,44.0
Kickass burgers,49.0
Brilliant biryanis,36.0
On the outskirts,18.0
Gourmet pizza,40.0
Sunday brunches,11.0
Super seafood,41.0
Happy hours,37.0
Late night restaurants,18.0
Beer in a bar,49.0
Super sushi,18.0
Where&#039;s the party?,14.0
Terrific thalis,19.0
Luxury dining,28.0
Rooftops,20.0
Ice Cream,39.0
Value for money,37.0
