restaurant_name,cost
Preshow,275.0
Spirit of Philadelphia Cruises,200.0
Laurel,170.0
Mica,160.0
The Farmacy,150.0
Marigold Kitchen,150.0
Gulf Seafood,150.0
Miss Rachel's Pantry,140.0
Moshulu,130.0
Talula's Garden,125.0
Little Fish BYOB,120.0
Golden Gates,120.0
The Capital Grille,120.0
Barclay Prime,120.0
Volvér,120.0
Fork,120.0
Ocean Prime,115.0
Vesper,115.0
Vernick Food & Drink,115.0
XIX Nineteen - Hyatt At The Bellevue,110.0
Sbraga,110.0
Rouge,110.0
Parc,100.0
Tavern 17,100.0
Fond,100.0
Aviation Grill,100.0
Chart House,100.0
Ela,100.0
Landis Store Hotel,100.0
Aldine,100.0
La Peg,95.0
Pub & Kitchen,90.0
Keating's River Grill,90.0
Water Works Restaurant and Lounge,90.0
White Dog Cafe,85.0
Legal Sea Foods,85.0
Standing O - DoubleTree Hotel,85.0
Marmont Steakhouse & Bar,85.0
Doc Magrogan's Oyster House,85.0
Taste - Sheraton Hotel,80.0
Valley Green Inn,80.0
Whetstone Tavern,80.0
Just To Serve You Restaurant,75.0
Lebus Manayunk,75.0
Tierra Colombiana,75.0
Jet Rock Bar & Grill,75.0
Jake's Restaurant & Cooper's Wine Bar,75.0
City Tap House,75.0
Stateside,75.0
restaurant,0
